No.,Time,Source,Destination,Protocol,Length,Info
76,54.024894,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=88065 Win=170496 Len=0 TSval=60486 TSecr=60404
77,54.042552,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=105441 Ack=1 Win=29696 Len=2896 TSval=60440 TSecr=60415
78,54.047677,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=90961 Win=170496 Len=0 TSval=60492 TSecr=60409
79,54.06711,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=108337 Ack=1 Win=29696 Len=2896 TSval=60446 TSecr=60421
80,54.073504,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=93857 Win=170496 Len=0 TSval=60498 TSecr=60409
81,54.090583,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=111233 Ack=1 Win=29696 Len=2896 TSval=60452 TSecr=60427
82,54.096587,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=96753 Win=170496 Len=0 TSval=60504 TSecr=60415
83,54.115082,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=114129 Ack=1 Win=29696 Len=2896 TSval=60458 TSecr=60433
84,54.123757,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=99649 Win=170496 Len=0 TSval=60510 TSecr=60422
85,54.139321,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=117025 Ack=1 Win=29696 Len=2896 TSval=60464 TSecr=60439
86,54.144641,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=102545 Win=170496 Len=0 TSval=60516 TSecr=60427
87,54.163261,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=119921 Ack=1 Win=29696 Len=2896 TSval=60470 TSecr=60445
88,54.172184,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=105441 Win=176640 Len=0 TSval=60522 TSecr=60434
89,54.187475,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=122817 Ack=1 Win=29696 Len=2896 TSval=60476 TSecr=60451
90,54.194029,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=108337 Win=180224 Len=0 TSval=60528 TSecr=60440
91,54.211671,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=125713 Ack=1 Win=29696 Len=2896 TSval=60476 TSecr=60451
92,54.218519,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=111233 Win=180224 Len=0 TSval=60534 TSecr=60446
93,54.235907,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=128609 Ack=1 Win=29696 Len=2896 TSval=60482 TSecr=60457
94,54.242909,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=114129 Win=180224 Len=0 TSval=60540 TSecr=60452
95,54.260482,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=131505 Ack=1 Win=29696 Len=2896 TSval=60488 TSecr=60463
96,54.265568,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=117025 Win=180224 Len=0 TSval=60546 TSecr=60458
97,54.284882,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=134401 Ack=1 Win=29696 Len=2896 TSval=60494 TSecr=60469
98,54.290069,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=119921 Win=180224 Len=0 TSval=60552 TSecr=60464
99,54.296732,10.0.0.3,10.0.0.2,TCP,1514,40758 > 34568 [ACK] Seq=137297 Ack=1 Win=29696 Len=1448 TSval=60500 TSecr=60475
100,54.314193,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=122817 Win=180224 Len=0 TSval=60558 TSecr=60470
101,54.320873,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=138745 Ack=1 Win=29696 Len=2896 TSval=60506 TSecr=60481
102,54.333011,10.0.0.3,10.0.0.2,TCP,1514,40758 > 34568 [ACK] Seq=141641 Ack=1 Win=29696 Len=1448 TSval=60506 TSecr=60481
103,54.338348,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=125713 Win=180224 Len=0 TSval=60564 TSecr=60476
104,54.35707,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=143089 Ack=1 Win=29696 Len=2896 TSval=60511 TSecr=60486
105,54.362973,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=128609 Win=180224 Len=0 TSval=60570 TSecr=60476
106,54.381725,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=145985 Ack=1 Win=29696 Len=2896 TSval=60517 TSecr=60492
107,54.386276,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=131505 Win=180224 Len=0 TSval=60576 TSecr=60482
108,54.405851,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=148881 Ack=1 Win=29696 Len=2896 TSval=60522 TSecr=60498
109,54.411284,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=134401 Win=180224 Len=0 TSval=60582 TSecr=60488
